experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 35.41956744156104, 35.41956744156104, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 35.61874600545729, 35.61874600545729, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 35.378303229734954, 35.378303229734954, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 35.39862820751832, 35.39862820751832, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 35.81730613626921, 35.81730613626921, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 34.98198134343292, 34.98198134343292, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 34.93818413308052, 34.93818413308052, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 35.3245877437947, 35.3245877437947, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 35.28909171097806, 35.28909171097806, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 35.22960559956216, 35.22960559956216, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 35.721994074531494, 35.721994074531494, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 35.91457965205425, 35.91457965205425, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 35.645936313406004, 35.645936313406004, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 35.9832235216172, 35.9832235216172, 35.4046505211576, 36.05801175090181, 34.751289291413386, , hi, rule, , 2 of 3 beyond 2σ; 4 of 5 beyond 1σ, , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 35.52329350445366, 35.52329350445366, 35.4046505211576, 36.05801175090181, 34.751289291413386, , hi, rule, , 4 of 5 beyond 1σ, , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 35.200361327520014, 35.200361327520014, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 35.05204304940246, 35.05204304940246, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 35.17440947148931, 35.17440947148931, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 35.24653551870967, 35.24653551870967, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 35.234632438578736, 35.234632438578736, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 34.75506012972382, 34.75506012972382, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 35.31337729344393, 35.31337729344393, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 35.78341222717928, 35.78341222717928, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 35.578343650786366, 35.578343650786366, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 35.54992334885418, 35.54992334885418, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, 35.92907304725631, 35.92907304725631, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 27, 34.9728351668644, 34.9728351668644, 35.4046505211576, 36.05801175090181, 34.751289291413386, , , , , , , B-H13c, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
