experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 301.74407545078014, 301.74407545078014, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 315.1099172847319, 315.1099172847319, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 305.8566804971917, 305.8566804971917, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 306.58574183396985, 306.58574183396985, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 304.60189342456187, 304.60189342456187, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 309.16029182869636, 309.16029182869636, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 304.92216029365767, 304.92216029365767, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 308.820671566136, 308.820671566136, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 304.7807009734901, 304.7807009734901, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 302.7426029619592, 302.7426029619592, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 310.2746853640915, 310.2746853640915, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 306.26339333838206, 306.26339333838206, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 305.55589067976143, 305.55589067976143, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 306.7560619616829, 306.7560619616829, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 307.75339337869866, 307.75339337869866, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 305.03826235323646, 305.03826235323646, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 308.6239612668216, 308.6239612668216, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 303.8701737775994, 303.8701737775994, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 305.61871542353674, 305.61871542353674, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 307.80541073604473, 307.80541073604473, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 309.8384273118906, 309.8384273118906, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 302.3639923804469, 302.3639923804469, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 299.4422763038991, 299.4422763038991, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 305.5479571484142, 305.5479571484142, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 299.9729619772789, 299.9729619772789, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, 306.1722915551651, 306.1722915551651, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 27, 304.3787121201905, 304.3787121201905, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0028, 2026-04-03 12:30, , 28, 302.100397424406, 302.100397424406, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0029, 2026-04-21 14:30, , 29, 305.90361987558686, 305.90361987558686, 306.59423421975157, 316.8886536424309, 296.29981479707226, , lo, rule, , 8 on one side, , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0030, 2026-05-17 12:30, , 30, 309.45072208008537, 309.45072208008537, 306.59423421975157, 316.8886536424309, 296.29981479707226, , , , , , , B-H14, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
