experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 460.7017279744923, 460.7017279744923, 467.94716027168016, 480.07143693700266, 455.82288360635766, 35.25064500340439, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 467.89085440405546, 467.89085440405546, 467.94716027168016, 480.07143693700266, 455.82288360635766, 37.78649128008874, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 470.7404438935605, 470.7404438935605, 467.94716027168016, 480.07143693700266, 455.82288360635766, 34.253122535169005, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 465.3558008050354, 465.3558008050354, 467.94716027168016, 480.07143693700266, 455.82288360635766, 35.05854877167045, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 471.7378518468709, 471.7378518468709, 467.94716027168016, 480.07143693700266, 455.82288360635766, 36.05255494657282, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 467.1462498965683, 467.1462498965683, 467.94716027168016, 480.07143693700266, 455.82288360635766, 36.25012489731507, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 475.4382274510224, 475.4382274510224, 467.94716027168016, 480.07143693700266, 455.82288360635766, 35.14217617147317, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 465.5710750808169, 465.5710750808169, 467.94716027168016, 480.07143693700266, 455.82288360635766, 35.777232883765414, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 462.1384538356478, 462.1384538356478, 467.94716027168016, 480.07143693700266, 455.82288360635766, 35.01003284171989, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 468.8023279991954, 468.8023279991954, 467.94716027168016, 480.07143693700266, 455.82288360635766, 35.4221590088765, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 469.2249457596527, 469.2249457596527, 467.94716027168016, 480.07143693700266, 455.82288360635766, 34.394187447450975, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 460.17683388481856, 460.17683388481856, 467.94716027168016, 480.07143693700266, 455.82288360635766, 33.95358150462709, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 466.6458939113259, 466.6458939113259, 467.94716027168016, 480.07143693700266, 455.82288360635766, 35.871336125729, , , , , , B-H16, xbars, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
