experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1853.6378978656576, 10.340273147774385, 10.340273147774385, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 1801.908452804692, 10.207229201448861, 10.207229201448861, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 1860.8171935817302, 10.304400249186015, 10.304400249186015, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 1791.981480218073, 10.309960803654189, 10.309960803654189, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 1741.0435539496632, 10.274196534997012, 10.274196534997012, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 1748.2388620115717, 10.28821804205862, 10.28821804205862, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 1900.9379232933657, 10.323518877294758, 10.323518877294758, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 1707.966412242367, 10.204264193861398, 10.204264193861398, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 1905.638847181052, 10.346206104257465, 10.346206104257465, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 1905.0660305159126, 10.368103986548705, 10.368103986548705, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 1872.0276491614395, 10.367710747919979, 10.367710747919979, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 1785.5774069849517, 10.26950717671962, 10.26950717671962, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 1690.114243157327, 10.342206057488154, 10.342206057488154, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 1742.8456857065894, 10.313533488692451, 10.313533488692451, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 1687.5928013458501, 10.280360953186994, 10.280360953186994, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 1797.6476602920482, 10.22896628277537, 10.22896628277537, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 1902.8593625068074, 10.33035739352855, 10.33035739352855, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 1791.024525294544, 10.272549709089684, 10.272549709089684, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 1914.5010026978428, 10.269794695559074, 10.269794695559074, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 1742.271059767471, 10.361759249525972, 10.361759249525972, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 1826.612497250674, 10.282633013762743, 10.282633013762743, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 1877.9208931597354, 10.263487407358948, 10.263487407358948, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 1930.854161387753, 10.302184486668487, 10.302184486668487, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 1816.129945379315, 10.284013862403768, 10.284013862403768, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 1754.828268120646, 10.271441783315392, 10.271441783315392, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 1873.345244885066, 10.3161399475741, 10.3161399475741, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 1768.8629751779295, 10.281299310593562, 10.281299310593562, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0028, 2026-04-03 12:30, , 1738.4911775964526, 10.29075040661168, 10.29075040661168, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0029, 2026-04-21 14:30, , 1748.5137617902722, 10.335071927193807, 10.335071927193807, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0030, 2026-05-17 12:30, , 1690.0020723509047, 10.298163229959231, 10.298163229959231, 10.300155844778363, 10.453379398189433, 10.146932291367293, , , , , , , B-H18, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
