experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 3.266804750797157, 3.266804750797157, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 3.289574726225188, 3.289574726225188, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 3.270548599366702, 3.270548599366702, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 3.308879642904178, 3.308879642904178, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 3.31346517406176, 3.31346517406176, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 3.3114460290053302, 3.3114460290053302, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 3.33395994057637, 3.33395994057637, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 3.3403564576065845, 3.3403564576065845, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 3.2729441850251266, 3.2729441850251266, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 3.3745436715933286, 3.3745436715933286, 3.294176695386819, 3.4282942348929937, 3.1600591558806443, , , , , , , B-H1, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
