experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 3.4462555882102883, 3.4462555882102883, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 3.3403753649800096, 3.3403753649800096, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 3.3237242052827014, 3.3237242052827014, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 3.333594799753984, 3.333594799753984, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 3.366513324139135, 3.366513324139135, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 3.25147975856053, 3.25147975856053, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 3.3085575403047156, 3.3085575403047156, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 3.340806835354631, 3.340806835354631, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 3.3296583063863707, 3.3296583063863707, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 3.3782212798397726, 3.3782212798397726, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 3.37069819303157, 3.37069819303157, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 3.3155229567221873, 3.3155229567221873, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 3.355798331758681, 3.355798331758681, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 3.3263864778056607, 3.3263864778056607, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 3.3396096278141583, 3.3396096278141583, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 3.3409478133995387, 3.3409478133995387, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 3.3380886327202086, 3.3380886327202086, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 3.3555233803954385, 3.3555233803954385, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 3.375930398132059, 3.375930398132059, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 3.3762566496073996, 3.3762566496073996, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 3.343505857081225, 3.343505857081225, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 3.293782943576366, 3.293782943576366, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 3.3221972532575776, 3.3221972532575776, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 3.3566429072602193, 3.3566429072602193, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 3.3769263402233727, 3.3769263402233727, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, 3.3351280278389654, 3.3351280278389654, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 27, 3.3599331337160985, 3.3599331337160985, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0028, 2026-04-03 12:30, , 28, 3.3210788853206923, 3.3210788853206923, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0029, 2026-04-21 14:30, , 29, 3.344300842223159, 3.344300842223159, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0030, 2026-05-17 12:30, , 30, 3.328693296886562, 3.328693296886562, 3.3456974732099516, 3.461608253847332, 3.229786692572571, , , , , , , B-H2, trend, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
