experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 0.6033822047934253, 0.595924706585556, 0.5940603320335885, 0.5976418827500083, 0.5904787813171688, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 0.5866105628773839, 0.5940618778439216, 0.5940603320335885, 0.598646954873569, 0.5894737091936081, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 0.5926238275676726, 0.5937742677886718, 0.5940603320335885, 0.5991878319451511, 0.588932832122026, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 0.5933451394283943, 0.5936884421166163, 0.5940603320335885, 0.5995058723147594, 0.5886147917524177, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 0.6035455333888903, 0.5956598603710712, 0.5940603320335885, 0.5997000135196969, 0.5884206505474802, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 0.5871313092765247, 0.5939541501521619, 0.5940603320335885, 0.5998208311598561, 0.588299832907321, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 0.6000958199977791, 0.5951824841212854, 0.5940603320335885, 0.5998968420911378, 0.5882238219760393, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 0.599263032945403, 0.595998593886109, 0.5940603320335885, 0.5999449738503422, 0.5881756902168349, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 0.5907216587193651, 0.5949432068527603, 0.5940603320335885, 0.5999755726452322, 0.5881450914219449, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 0.5887595918643858, 0.5937064838550854, 0.5940603320335885, 0.59999507308019, 0.5881255909869871, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 0.5864384095057936, 0.5922528689852271, 0.5940603320335885, 0.6000075198026122, 0.5881131442645648, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 0.5950370425398605, 0.5928097036961538, 0.5940603320335885, 0.6000154720524884, 0.5881051920146887, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 0.5848006672761107, 0.5912078964121452, 0.5940603320335885, 0.6000205559242572, 0.5881001081429199, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 0.5925762816073866, 0.5914815734511936, 0.5940603320335885, 0.6000238073277019, 0.5880968567394752, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 0.5885229337706437, 0.5908898455150836, 0.5940603320335885, 0.600025887295903, 0.5880947767712741, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 0.595397188769032, 0.5917913141658733, 0.5940603320335885, 0.6000272180950474, 0.5880934459721296, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 0.60671494561713, 0.5947760404561246, 0.5940603320335885, 0.6000280696507567, 0.5880925944164204, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 0.6036281189024043, 0.5965464561453806, 0.5940603320335885, 0.6000286145826473, 0.5880920494845298, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 0.5924464545754822, 0.5957264558314009, 0.5940603320335885, 0.6000289633129475, 0.5880917007542296, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 0.5901659172487008, 0.5946143481148609, 0.5940603320335885, 0.6000291864896471, 0.58809147757753, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 0.5868943778211458, 0.593070354056118, 0.5940603320335885, 0.6000293293183557, 0.5880913347488214, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 0.5961932398836493, 0.5936949312216243, 0.5940603320335885, 0.6000294207269355, 0.5880912433402415, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 0.581040260385226, 0.5911639970543447, 0.5940603320335885, 0.6000294792276921, 0.588091184839485, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 0.5935920385125406, 0.5916496053459839, 0.5940603320335885, 0.6000295166678754, 0.5880911473993017, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 0.5891392996247615, 0.5911475442017394, 0.5940603320335885, 0.6000295406294696, 0.5880911234377075, , , , , , , B-H5, ewma, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
