experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 106.18865719647897, 106.18865719647897, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 104.03918488677519, 104.03918488677519, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 102.91381924275451, 102.91381924275451, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 103.74203576963203, 103.74203576963203, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 105.42269742225668, 105.42269742225668, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 105.97740524455882, 105.97740524455882, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 106.04733064983843, 106.04733064983843, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 104.89017716159412, 104.89017716159412, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 108.31500809833719, 108.31500809833719, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 103.98976870828385, 103.98976870828385, 104.79717678842078, 109.11765968411979, 100.47669389272178, , , , , , , B-H6b, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
