experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 154512.1640169609, 154512.1640169609, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 153763.3623514445, 153763.3623514445, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 153191.84764852322, 153191.84764852322, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 153386.63231876894, 153386.63231876894, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 151171.2982862762, 151171.2982862762, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 151036.634828622, 151036.634828622, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 150820.60160634795, 150820.60160634795, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 152382.84068988424, 152382.84068988424, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 155259.47181797397, 155259.47181797397, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 153665.1941905509, 153665.1941905509, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 150378.66082192343, 150378.66082192343, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 150318.30947056285, 150318.30947056285, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 151362.8456524082, 151362.8456524082, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 151111.11853728248, 151111.11853728248, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 155176.46824606266, 155176.46824606266, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 152976.4936896293, 152976.4936896293, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 150173.97876641212, 150173.97876641212, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 148666.20754457975, 148666.20754457975, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 151535.9126583275, 151535.9126583275, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 153575.67123365693, 153575.67123365693, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 152069.7004518163, 152069.7004518163, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 152343.44066016978, 152343.44066016978, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 154720.50564180917, 154720.50564180917, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 149861.6480216654, 149861.6480216654, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 153313.9793920816, 153313.9793920816, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, 153301.26778443312, 153301.26778443312, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 27, 154848.5445962647, 154848.5445962647, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0028, 2026-04-03 12:30, , 28, 152961.02039992515, 152961.02039992515, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0029, 2026-04-21 14:30, , 29, 150868.02131111093, 150868.02131111093, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0030, 2026-05-17 12:30, , 30, 152180.65766505187, 152180.65766505187, 152223.28571880987, 156456.55863404684, 147990.0128035729, , , , , , , B-M2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
