experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 8.630619399511264, 8.630619399511264, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 8.709600974536862, 8.709600974536862, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 8.544835137860977, 8.544835137860977, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 8.503339774334382, 8.503339774334382, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 8.606568256691252, 8.606568256691252, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 8.547182049578149, 8.547182049578149, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 8.53685380407693, 8.53685380407693, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 8.5412077642983, 8.5412077642983, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 8.545698290618832, 8.545698290618832, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 8.550009364720522, 8.550009364720522, 8.560759831126155, 8.789529104428183, 8.331990557824128, , , , , , , B-O2, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
