experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 164.41941781447323, 164.41941781447323, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 171.80718880088023, 171.80718880088023, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 166.3931943217328, 166.3931943217328, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 178.77042111287568, 178.77042111287568, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 189.49327142014033, 189.49327142014033, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 187.67655495835135, 187.67655495835135, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 167.4073947740715, 167.4073947740715, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 173.44495233648428, 173.44495233648428, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 177.7674978307223, 177.7674978307223, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 165.8967891662981, 165.8967891662981, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 163.27669134581186, 163.27669134581186, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 177.99490736684993, 177.99490736684993, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 174.66659384707856, 174.66659384707856, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 187.26291721395256, 187.26291721395256, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 189.6818723052382, 189.6818723052382, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 175.49730540296775, 175.49730540296775, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 164.09334106642814, 164.09334106642814, 175.9728184282274, 199.0342918314958, 152.91134502495902, , , , , , , B-S1, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
