experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 127.6427455922034, 127.6427455922034, 128.247042114384, 173.96616260568624, 82.52792162308175, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 132.50217752974964, 132.50217752974964, 128.247042114384, 174.5893372915644, 81.90474693720357, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 125.12997276962243, 125.12997276962243, 128.247042114384, 173.46143028833367, 83.0326539404343, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 129.8320780520128, 129.8320780520128, 128.247042114384, 174.10416718197203, 82.38991704679594, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 130.4675708169957, 130.4675708169957, 128.247042114384, 174.1846535162822, 82.30943071248578, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 127.41650532455593, 127.41650532455593, 128.247042114384, 173.7091108892381, 82.78497333952987, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 124.60608287801622, 124.60608287801622, 128.247042114384, 173.93768856274266, 82.55639566602532, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 131.11923632618226, 131.11923632618226, 128.247042114384, 174.08038843486887, 82.41369579389911, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 127.30982140528734, 127.30982140528734, 128.247042114384, 173.7746477063796, 82.71943652238836, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 129.06823911825637, 129.06823911825637, 128.247042114384, 174.37695023968146, 82.11713398908651, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 129.73297755700045, 129.73297755700045, 128.247042114384, 174.3112086394402, 82.18287558932778, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 129.13350661878988, 129.13350661878988, 128.247042114384, 174.02526772721637, 82.4688165015516, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 125.85732747834145, 125.85732747834145, 128.247042114384, 173.59686392563083, 82.89722030313716, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 127.76819281362692, 127.76819281362692, 128.247042114384, 174.04155292602832, 82.45253130273967, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 126.17800666777572, 126.17800666777572, 128.247042114384, 174.00973066184613, 82.48435356692184, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 127.26478021710237, 127.26478021710237, 128.247042114384, 174.0529051684026, 82.44117906036539, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 130.80565394075398, 130.80565394075398, 128.247042114384, 174.28337696299803, 82.21070726576994, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 130.9271234237545, 130.9271234237545, 128.247042114384, 174.34042977130719, 82.15365445746077, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 125.8297922262339, 125.8297922262339, 128.247042114384, 173.7241215082022, 82.7699627205658, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 126.79549602839928, 126.79549602839928, 128.247042114384, 173.61006719423497, 82.884017034533, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 128.08622007561596, 128.08622007561596, 128.247042114384, 174.0958749941937, 82.39820923457428, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 127.8486757873836, 127.8486757873836, 128.247042114384, 174.05910047214115, 82.4349837566268, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 132.01042377373, 132.01042377373, 128.247042114384, 174.2388837636405, 82.25520046512746, , , , , , , B-S2b, u, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
