experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 4917.773286004845, 4917.773286004845, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 4976.247159573405, 4976.247159573405, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 4949.418650274073, 4949.418650274073, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 4976.314625984716, 4976.314625984716, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 4935.254664974632, 4935.254664974632, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 4887.658810064323, 4887.658810064323, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 4897.545767848879, 4897.545767848879, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 4991.308833640566, 4991.308833640566, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 5011.997913625932, 5011.997913625932, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 4913.725379878534, 4913.725379878534, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 4963.274689429066, 4963.274689429066, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 4938.858763009337, 4938.858763009337, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 4929.454891901213, 4929.454891901213, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 5020.395184142262, 5020.395184142262, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 4922.5371440051895, 4922.5371440051895, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 4933.796178407078, 4933.796178407078, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 4940.6819271473905, 4940.6819271473905, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 4934.634707131499, 4934.634707131499, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 4944.726635955262, 4944.726635955262, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 4891.981884239921, 4891.981884239921, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 4992.937867752433, 4992.937867752433, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 5008.065701345052, 5008.065701345052, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 4954.61174565158, 4954.61174565158, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 4957.665898747562, 4957.665898747562, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 4942.177200373913, 4942.177200373913, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, 4894.771412762465, 4894.771412762465, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 27, 4896.697491939307, 4896.697491939307, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0028, 2026-04-03 12:30, , 28, 5007.47156123195, 5007.47156123195, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0029, 2026-04-21 14:30, , 29, 4917.635917303873, 4917.635917303873, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0030, 2026-05-17 12:30, , 30, 4956.131492023259, 4956.131492023259, 4943.879354861908, 5053.434496933805, 4834.32421279001, , , , , , , B-S3, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
