experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 8.316406164011392, 8.316406164011392, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 8.070391403773412, 8.070391403773412, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 8.100819085826616, 8.100819085826616, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 8.24753290880861, 8.24753290880861, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 8.25136517448703, 8.25136517448703, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 8.282536555817941, 8.282536555817941, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 8.129976313305505, 8.129976313305505, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 8.216086040275197, 8.216086040275197, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 8.155543309760473, 8.155543309760473, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 8.085543823854195, 8.085543823854195, 8.190268224017123, 8.453703549445581, 7.926832898588664, , , , , , , B-S5, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
