experiment, date, operator, x, value, plotted, centre, ucl, lcl, s, direction, signal, extract, flags, baseline, chart, type, variant, sop_sha256
DEMO_QSB_HIST_0001, 2025-06-06 11:30, , 1, 4056.0961307825605, 4056.0961307825605, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0002, 2025-06-19 14:30, , 2, 4156.704667305562, 4156.704667305562, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0003, 2025-06-22 17:30, , 3, 4058.5619954267327, 4058.5619954267327, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0004, 2025-06-28 16:30, , 4, 4070.533163408372, 4070.533163408372, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0005, 2025-07-21 13:30, , 5, 4043.016238780291, 4043.016238780291, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0006, 2025-08-13 15:30, , 6, 4067.1370621985684, 4067.1370621985684, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0007, 2025-08-20 12:30, , 7, 4093.5510865295055, 4093.5510865295055, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0008, 2025-08-24 17:30, , 8, 4095.9505774828967, 4095.9505774828967, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0009, 2025-09-01 17:30, , 9, 4070.60370855913, 4070.60370855913, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0010, 2025-09-06 15:30, , 10, 4026.1550327046875, 4026.1550327046875, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0011, 2025-09-19 17:30, , 11, 4098.019566572859, 4098.019566572859, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0013, 2025-09-28 12:30, , 12, 4133.145093483242, 4133.145093483242, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0012, 2025-09-28 13:30, , 13, 4099.908183300983, 4099.908183300983, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0014, 2025-09-30 14:30, , 14, 4071.121341276642, 4071.121341276642, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0015, 2025-10-24 16:30, , 15, 4026.332138817398, 4026.332138817398, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0016, 2025-10-27 14:30, , 16, 4071.5860315032655, 4071.5860315032655, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0017, 2025-11-17 10:30, , 17, 4091.886202691974, 4091.886202691974, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0018, 2025-11-26 15:30, , 18, 3989.9832718041553, 3989.9832718041553, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0019, 2025-11-29 15:30, , 19, 4072.4919723339412, 4072.4919723339412, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0020, 2025-12-02 13:30, , 20, 4048.999265724901, 4048.999265724901, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0021, 2025-12-13 15:30, , 21, 4044.100144013598, 4044.100144013598, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0022, 2025-12-24 14:30, , 22, 4035.70893967136, 4035.70893967136, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0023, 2026-02-02 13:30, , 23, 4012.825193075005, 4012.825193075005, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0024, 2026-02-28 10:30, , 24, 4100.6115233844375, 4100.6115233844375, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0025, 2026-03-14 13:30, , 25, 4040.521694936699, 4040.521694936699, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0026, 2026-03-18 10:30, , 26, 3995.866725797171, 3995.866725797171, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0027, 2026-03-25 10:30, , 27, 4030.6761651860875, 4030.6761651860875, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0028, 2026-04-03 12:30, , 28, 4030.6992045194747, 4030.6992045194747, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0029, 2026-04-21 14:30, , 29, 4039.602287004701, 4039.602287004701, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , , , , , , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
DEMO_QSB_HIST_0030, 2026-05-17 12:30, , 30, 4027.3788852879147, 4027.3788852879147, 4072.0891365343828, 4190.822423465792, 3953.355849602974, , lo, rule, , 4 of 5 beyond 1σ, , B-S6, i, , 055382dc15bd9513fd0422dce56ae998951ec018ee119774b6f769c0f930c792
