experiment, date, instrument, operator, firmware, software, block_cycles, run_minutes, edit_delay, bg_median.x4-m4, bg_median.x1-m1, bg_median.x2-m2, bg_median.x3-m3, plateau_median.x4-m4, plateau_median.x1-m1, plateau_median.x2-m2, plateau_median.x3-m3, heat_rate, cool_rate, transition.60→95 °C, transition.95→60 °C, led_current, led_junction, zone_spread, cover_temp, heatsink_max, exposure.x5-m5, exposure.x3-m3, exposure.x2-m3, exposure.x3-m4, exposure.x4-m4, exposure.x2-m2, exposure.x1-m2, exposure.x1-m1, wheel_ms, wheel_slow.bad, wheel_slow.n, encoder.emission, encoder.excitation, cam_overhead.mean, cam_overhead.sd, cam_overhead.n, cover_down, cover_up, cmd_rt, tick_late, catch_up.count, catch_up.exposure, img_proc, runtime_err, log_errors.count, cycle_sd, handoff_min, saturation.bad, saturation.n, calib_uniformity, calib_roi, calib_background, ct_mismatch.bad, ct_mismatch.n, action_rate.bad, action_rate.n, late_rate.bad, late_rate.n, low_conf.bad, low_conf.n, rep_sd, rowcol, rox_level, rox_cv, manual_rate.bad, manual_rate.n, copied.count, findings.count
DEMO_QSB_HIST_0001, 2025-06-06 11:30, QS · QS-DEMO-B, operator-96fc0cae, 7, QuantStudio 3 and 5 Software 1.0.0, 1853.6378978656576, 89.43908836666935, -2.032873779936237, 1.011872843659038, 1.0023425896170621, 0.9889382538205327, 1.012611897040692, 3.686423266250224, 18.954834557973946, 5.742160121481865, 5.78300946099541, 3.266804750797157, 3.4462555882102883, 10.425726506316924, 10.277286695235281, 0.5510087543016186, 75.76582450479663, 0.6033822047934253, 106.18865719647897, 39.93645589350162, 660.3830443151948, 301.9886989563779, 301.71710150046914, 403.34459443971167, 404.88797993568915, 301.175935996814, 297.22585801636893, 449.4989770870737, 301.74407545078014, 0, 320, 0, 0, 460.7017279744923, 35.25064500340439, 636.9923305009522, 10.340273147774385, 5.3465487464611225, 164.41941781447323, 5.490798953258891, 70.48395572253557, 0.5521971138706125, 4917.773286004845, 8.316406164011392, 0, 89.0979585909289, 4056.0961307825605, 48, 7680, 1.1672633350230681, 35.41956744156104, 2592.060351386617, 0, 384, 0, 4, 0, 4, 0, 384, 0.13923568964087782, 0.05216303184380275, 154512.1640169609, 8.630619399511264, 0, 392, 1, 3
DEMO_QSB_HIST_0002, 2025-06-19 14:30, QS · QS-DEMO-B, operator-538c64e4, 7, QuantStudio 3 and 5 Software 1.0.0, 1801.908452804692, 89.24005668438942, -2.0190972371689657, 1.0183364844347975, 0.9956046673490808, 1.0016387921556587, 1.007523077461909, 3.696431676336092, 19.31686586318787, 5.691316908931903, 5.828680586488403, 3.289574726225188, 3.3403753649800096, 10.50416452022329, 10.23712784866243, 0.5514799186620157, 76.66596577441483, 0.5866105628773839, 104.03918488677519, 39.725609934301126, 659.9269557213485, 299.9473844158264, 301.19976347743307, 400.65057713801383, 397.4545033599672, 306.2749796993754, 300.73207287625263, 446.71007935896154, 315.1099172847319, 3, 320, 0, 0, 467.89085440405546, 37.78649128008874, 629.4204169474145, 10.207229201448861, 5.340668600681955, 171.80718880088023, 5.46620941835401, 71.2127576941722, 0.5374459425633467, 4976.247159573405, 8.070391403773412, 0, 89.69199435922825, 4156.704667305562, 46, 7680, 1.1698812944654648, 35.61874600545729, 2579.5789390098867, 0, 384, 0, 4, 0, 4, 0, 384, 0.13282469967196148, 0.04224837850245911, 153763.3623514445, 8.709600974536862, 1, 392, 0, 0
DEMO_QSB_HIST_0003, 2025-06-22 17:30, QS · QS-DEMO-B, operator-81023fd5, 7, QuantStudio 3 and 5 Software 1.0.0, 1860.8171935817302, 90.39863644330653, -1.9953965035491008, 0.9962634664405773, 0.9939783214756303, 1.0117282196154913, 1.0113864044166945, 3.6590408192919397, 18.955739571686234, 5.671774891927063, 5.771842318026099, 3.270548599366702, 3.3237242052827014, 10.457939290325896, 10.335890215962003, 0.550222145504754, 75.86273134622971, 0.5926238275676726, 102.91381924275451, 40.29338703022377, 659.3312566787018, 298.0338811744103, 299.57686088249204, 395.18583102951914, 399.6628315539478, 297.1923322856468, 295.7582634647325, 449.75783321018935, 305.8566804971917, 0, 320, 0, 0, 470.7404438935605, 34.253122535169005, 643.0319914312587, 10.304400249186015, 5.428359903138994, 166.3931943217328, 5.546426656427697, 70.64767922670163, 0.564594378652759, 4949.418650274073, 8.100819085826616, 0, 88.53224915441507, 4058.5619954267327, 42, 7680, 1.1870426114863697, 35.378303229734954, 2615.8174321764136, 2, 384, 0, 4, 0, 4, 0, 384, 0.13911652131516067, 0.05284391886697664, 153191.84764852322, 8.544835137860977, 1, 392, 0, 4
DEMO_QSB_HIST_0004, 2025-06-28 16:30, QS · QS-DEMO-B, operator-81023fd5, 7, QuantStudio 3 and 5 Software 1.0.0, 1791.981480218073, 89.7675660743839, -1.993852152302093, 1.002880414695645, 0.9800924420006119, 1.0109985931973624, 1.0016898381245407, 3.7020943055713844, 19.075846572173358, 5.6770873803666815, 5.842870610628132, 3.308879642904178, 3.333594799753984, 10.468996006066178, 10.410108118782261, 0.5484975124538468, 77.01226835015018, 0.5933451394283943, 103.74203576963203, 39.929887068435306, 663.3242102819773, 302.1273854526655, 300.04196475171625, 393.0960681884889, 400.3534847696124, 297.66829116272976, 300.66722638731653, 443.68875166727014, 306.58574183396985, 0, 320, 0, 0, 465.3558008050354, 35.05854877167045, 639.0786642175826, 10.309960803654189, 5.469636082529119, 178.77042111287568, 5.514594802200245, 71.26203617081572, 0.5488784993664433, 4976.314625984716, 8.24753290880861, 1, 87.94797220688196, 4070.533163408372, 53, 7680, 1.1566432335899417, 35.39862820751832, 2601.681616083355, 1, 384, 0, 4, 0, 4, 0, 384, 0.1435567300193532, 0.07019590808392813, 153386.63231876894, 8.503339774334382, 2, 392, 0, 2
DEMO_QSB_HIST_0005, 2025-07-21 13:30, QS · QS-DEMO-B, operator-96fc0cae, 7, QuantStudio 3 and 5 Software 1.0.0, 1741.0435539496632, 90.47846824623613, -2.039529729507999, 1.0230936147151306, 0.9975563402117605, 1.0132280419704927, 0.987370785690901, 3.6911842169509956, 19.01246263781624, 5.8285275003805825, 5.9738644466579744, 3.31346517406176, 3.366513324139135, 10.518225077046003, 10.27042052807981, 0.5496435562214677, 76.44492262767383, 0.6035455333888903, 105.42269742225668, 40.016998451363236, 654.231172368399, 296.30264084668573, 298.3249617641637, 403.3510070232299, 403.6572045330268, 301.78843274326977, 303.61915820271145, 452.76390271178633, 304.60189342456187, 1, 320, 0, 0, 471.7378518468709, 36.05255494657282, 647.1024445055799, 10.274196534997012, 5.360181248831304, 189.49327142014033, 5.458294126689972, 71.36012857070435, 0.5469568270785067, 4935.254664974632, 8.25136517448703, 1, 87.86826192636978, 4043.016238780291, 65, 7680, 1.196529013949121, 35.81730613626921, 2615.2229890821213, 0, 384, 0, 4, 0, 4, 2, 384, 0.1353371139236493, 0.05526242962939997, 151171.2982862762, 8.606568256691252, 2, 392, 0, 3
DEMO_QSB_HIST_0006, 2025-08-13 15:30, QS · QS-DEMO-B, operator-81023fd5, 7, QuantStudio 3 and 5 Software 1.0.0, 1748.2388620115717, 89.34977131784282, -1.9909751876880826, 0.992137278286836, 1.0186335896945993, 1.0158006315163144, 0.9926468549928646, 3.7537309340824807, 19.631597829645898, 5.7556695104280005, 5.74597835554011, 3.3114460290053302, 3.25147975856053, 10.31388029884913, 10.419702198944872, 0.5514344922273154, 76.57665406397408, 0.5871313092765247, 105.97740524455882, 39.895341086198165, 656.4368333562385, 297.34400497304125, 302.8607376225524, 390.801708710424, 394.9311766516793, 298.51403783931215, 301.33659466946506, 447.7828985554725, 309.16029182869636, 3, 320, 0, 0, 467.1462498965683, 36.25012489731507, 644.34852488589, 10.28821804205862, 5.410330464347424, 187.67655495835135, 5.536469790718457, 71.15692416284931, 0.5584592355723307, 4887.658810064323, 8.282536555817941, 1, 87.41068047847315, 4067.1370621985684, 47, 7680, 1.1790370589090677, 34.98198134343292, 2643.4513469459393, 0, 384, 0, 4, 0, 4, 0, 384, 0.13324101827394477, 0.055576552610927664, 151036.634828622, 8.547182049578149, 0, 392, 0, 1
DEMO_QSB_HIST_0007, 2025-08-20 12:30, QS · QS-DEMO-B, operator-96fc0cae, 7, QuantStudio 3 and 5 Software 1.0.0, 1900.9379232933657, 90.6729001491177, -1.9951121979420743, 0.9874097896896028, 1.0086264825740008, 1.0042400371310185, 1.0080455878388055, 3.7169561249107947, 18.896828736704812, 5.782410760302139, 5.82161795253683, 3.33395994057637, 3.3085575403047156, 10.441932940190771, 10.233273658299266, 0.544887225531776, 75.14382578533892, 0.6000958199977791, 106.04733064983843, 40.065460204860415, 654.0635087580617, 300.34997923997855, 303.2095001235508, 404.3083751076368, 405.6470711821253, 297.83494979067325, 296.6297452116026, 454.6724654394402, 304.92216029365767, 2, 320, 0, 0, 475.4382274510224, 35.14217617147317, 641.3495921263551, 10.323518877294758, 5.297088215452006, 167.4073947740715, 5.5179268853482775, 68.89290614386458, 0.5528855779160288, 4897.545767848879, 8.129976313305505, 0, 88.57446976301244, 4093.5510865295055, 34, 7680, 1.1910480984123977, 34.93818413308052, 2626.42356463135, 0, 384, 0, 4, 0, 4, 0, 384, 0.1394163031482083, 0.05180315875279213, 150820.60160634795, 8.53685380407693, 0, 392, 0, 1
DEMO_QSB_HIST_0008, 2025-08-24 17:30, QS · QS-DEMO-B, operator-538c64e4, 7, QuantStudio 3 and 5 Software 1.0.0, 1707.966412242367, 89.3098367670143, -1.9942387086940305, 0.98864509567874, 0.9851396125173617, 0.9944226716895151, 1.0129387658559936, 3.816438341632878, 18.86556757573727, 5.647526267047247, 5.772716129586936, 3.3403564576065845, 3.340806835354631, 10.3654604601244, 10.07085153893524, 0.5504431059321929, 77.18239232534114, 0.599263032945403, 104.89017716159412, 40.32369994574228, 657.93180697283, 292.752900674606, 303.12712687060406, 392.6224728400382, 396.02590170264455, 295.68940685989025, 301.25993251813617, 454.42510385893297, 308.820671566136, 2, 320, 0, 0, 465.5710750808169, 35.777232883765414, 638.189655123238, 10.204264193861398, 5.3946148284702, 173.44495233648428, 5.579174912520928, 72.04322486867943, 0.5494481731838278, 4991.308833640566, 8.216086040275197, 1, 87.54659728962275, 4095.9505774828967, 51, 7680, 1.1670569431217923, 35.3245877437947, 2574.3464612987445, 0, 384, 0, 4, 0, 4, 0, 384, 0.09922663946689154, 0.040075097680073335, 152382.84068988424, 8.5412077642983, 1, 392, 0, 4
DEMO_QSB_HIST_0009, 2025-09-01 17:30, QS · QS-DEMO-B, operator-538c64e4, 7, QuantStudio 3 and 5 Software 1.0.0, 1905.638847181052, 89.21627826641473, -1.9921578211810365, 1.0122319201156031, 0.9814384711218399, 0.9998473230544025, 0.9831037044202836, 3.6691715349824547, 19.19015399045208, 5.676216129408951, 5.814282372072322, 3.2729441850251266, 3.3296583063863707, 10.271029467662371, 10.377913177648598, 0.5504768271015473, 77.58029974890076, 0.5907216587193651, 108.31500809833719, 40.0606328193394, 655.4621997725181, 302.6186889526375, 299.90658667283486, 400.08898131945364, 400.17799453990983, 299.18431228139195, 292.9429105799704, 450.8381973891908, 304.7807009734901, 0, 320, 0, 0, 462.1384538356478, 35.01003284171989, 632.7113488611408, 10.346206104257465, 5.390329221080089, 177.7674978307223, 5.510683565831805, 70.89280414376873, 0.5568525928418627, 5011.997913625932, 8.155543309760473, 1, 87.57540329353414, 4070.60370855913, 39, 7680, 1.180372759524721, 35.28909171097806, 2572.0848534502156, 0, 384, 0, 4, 0, 4, 0, 384, 0.13869308776660746, 0.045402429043724796, 155259.47181797397, 8.545698290618832, 1, 392, 1, 4
DEMO_QSB_HIST_0010, 2025-09-06 15:30, QS · QS-DEMO-B, operator-538c64e4, 7, QuantStudio 3 and 5 Software 1.0.0, 1905.0660305159126, 90.08243313281665, -2.010659969213031, 0.9895709638085838, 1.0032678947698492, 0.9826228105589669, 1.008415438104123, 3.7229499573094467, 19.052834348996424, 5.689080710073425, 5.829819426077981, 3.3745436715933286, 3.3782212798397726, 10.43058543490985, 10.249012184092539, 0.5519494266504671, 75.98234725623047, 0.5887595918643858, 103.98976870828385, 39.457493658533615, 667.7738299961078, 295.04735233707527, 302.4384453048386, 404.69362560332166, 397.537881908995, 305.10586484093415, 298.4280170762741, 453.7051097897064, 302.7426029619592, 2, 320, 0, 0, 468.8023279991954, 35.4221590088765, 639.7996817245421, 10.368103986548705, 5.3645510061724275, 165.8967891662981, 5.542558589225454, 70.0074199527085, 0.5424062529323385, 4913.725379878534, 8.085543823854195, 0, 89.53689740191454, 4026.1550327046875, 30, 7680, 1.1733837824745692, 35.22960559956216, 2601.2345125475636, 0, 384, 0, 4, 0, 4, 0, 384, 0.13878091581869992, 0.05222730409377185, 153665.1941905509, 8.550009364720522, 0, 392, 0, 2
